City,Country,Latitude,Longitude
New York,USA,40.7128° N,74.0060° W
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522° E
Sydney,Australia,33.8688° S,151.2093° E
New York,USA,40.7128,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522
Sydney,Australia,33.8688,151.2093
New York,USA,40.7128° N,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522
Sydney,Australia,33.8688° S,151.2093
New York,USA,40.7128,74.0060° W
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522° E
Sydney,Australia,33.8688,151.2093° E
New York,USA,40.7128° N,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522
Sydney,Australia,33.8688° S,151.2093
New York,USA,40.7128,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522
Sydney,Australia,33.8688,151.2093
New York,USA,40.7128° N,74.0060° W
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522° E
Sydney,Australia,33.8688° S,151.2093° E
New York,USA,40.7128,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522
Sydney,Australia,33.8688,151.2093
New York,USA,40.7128° N,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522
Sydney,Australia,33.8688° S,151.2093
New York,USA,40.7128,74.0060° W
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522° E
Sydney,Australia,33.8688,151.2093° E
New York,USA,40.7128° N,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566° N,2.3522
Sydney,Australia,33.8688° S,151.2093
New York,USA,40.7128,74.006
London,UK,51.5074,-0.1278
Tokyo,Japan,35.6895,139.6917
Paris,France,48.8566,2.3522
Sydney,Australia,33.8688,151.2093
